SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
HIS,490,05,IS:Infanticide Gndr & Law/NJ,Hunter (Brooke B.),[22089],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HIS,490,06,IS: So close: ER Amendment,Gowaskie (Joseph M.),[22125],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,490,07,IS: History of Martyrdom,Shepardson (Nikki),[22145],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HIS,491,01,Internship in History,Gowaskie (Joseph M.),[20168],  1.0,  4.0,,,,    4,,    5,    1,OPEN,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HRM,313,REO,Legal Aspects of Human Res Mgt,Stoolman (Jeffrey S.),[21260],  3.0,     ,TH,06:30PM-09:30PM,48,   11,25,   15,    4,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| NO Continuing Studies,MGT 310 UG D,
HRM,313,RER,Legal Aspects of Human Res Mgt,Stoolman (Jeffrey S.),[21263],  3.0,     ,TH,06:30PM-09:30PM,48,    6,25,   10,    4,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| ONLY Continuing Studies,MGT 310 UG D,
HRM,315,01,SS:Employee Sel & Train,Kutcher (Eugene),[22065],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,MGT 310 UG D,Instructor Signature Required
HRM,316,WEO,Employee Compensation Systems,Donovan (John J.),[21267],  3.0,     ,W,06:30PM-09:30PM,48,   13,25,   15,    2,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| NO Continuing Studies,MGT 310 UG D,
HRM,316,WER,Employee Compensation Systems,Donovan (John J.),[21270],  3.0,     ,W,06:30PM-09:30PM,48,    2,25,   10,    8,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| ONLY Continuing Studies,MGT 310 UG D,
HRM,441,G1,HON: Employee Eng/21st Century,Donovan (John J.); Kutcher (Eugene),[21000],  3.0,     ,MW,01:10PM-02:40PM,48,    7,25,   10,    3,OPEN,49,LAW,BU,UG,,| ONLY Undergraduate| ONLY Business Honors,MGT 310 UG D,
HRM,490,01,IS:PersTest in Hiring Proc,Kutcher (Eugene),[21895],  1.0,  4.0,,,,    4,,    1,   -3,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
